emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
💢,anger symbol,Smileys & Emotion,,anger_symbol,U+1F4A2,inferred_coherent
💥,collision,Smileys & Emotion,,collision,U+1F4A5,inferred_coherent
💫,dizzy,Smileys & Emotion,,dizzy,U+1F4AB,inferred_coherent
💦,sweat droplets,Smileys & Emotion,,sweat_droplets,U+1F4A6,inferred_coherent
💨,dashing away,Smileys & Emotion,,dashing_away,U+1F4A8,inferred_coherent
🕳️,hole,Smileys & Emotion,,hole,U+1F573 U+FE0F,inferred_coherent
💬,speech balloon,Smileys & Emotion,,speech_balloon,U+1F4AC,inferred_coherent
👁️‍🗨️,eye in speech bubble,Smileys & Emotion,,eye_in_speech_bubble,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,inferred_coherent
🗨️,left speech bubble,Smileys & Emotion,,left_speech_bubble,U+1F5E8 U+FE0F,inferred_coherent
🗯️,right anger bubble,Smileys & Emotion,,right_anger_bubble,U+1F5EF U+FE0F,inferred_coherent
💭,thought balloon,Smileys & Emotion,,thought_balloon,U+1F4AD,inferred_coherent
💤,ZZZ,Smileys & Emotion,,zzz,U+1F4A4,inferred_coherent
👋,waving hand,People & Body,,waving_hand,U+1F44B,inferred_coherent
🤚,raised back of hand,People & Body,,raised_back_of_hand,U+1F91A,inferred_coherent
🖐️,hand with fingers splayed,People & Body,,hand_with_fingers_splayed,U+1F590 U+FE0F,inferred_coherent
✋,raised hand,People & Body,,raised_hand,U+270B,inferred_coherent
🖖,vulcan salute,People & Body,,vulcan_salute,U+1F596,inferred_coherent
🫱,rightwards hand,People & Body,,rightwards_hand,U+1FAF1,inferred_coherent
🫲,leftwards hand,People & Body,,leftwards_hand,U+1FAF2,inferred_coherent
🫳,palm down hand,People & Body,,palm_down_hand,U+1FAF3,inferred_coherent
🫴,palm up hand,People & Body,,palm_up_hand,U+1FAF4,inferred_coherent
🫷,leftwards pushing hand,People & Body,,leftwards_pushing_hand,U+1FAF7,inferred_coherent
🫸,rightwards pushing hand,People & Body,,rightwards_pushing_hand,U+1FAF8,inferred_coherent
👌,OK hand,People & Body,,ok_hand,U+1F44C,inferred_coherent
🤌,pinched fingers,People & Body,,pinched_fingers,U+1F90C,inferred_coherent
🤏,pinching hand,People & Body,,pinching_hand,U+1F90F,inferred_coherent
✌️,victory hand,People & Body,,victory_hand,U+270C U+FE0F,inferred_coherent
🤞,crossed fingers,People & Body,,crossed_fingers,U+1F91E,inferred_coherent
🫰,hand with index finger and thumb crossed,People & Body,,hand_with_index_finger_and_thumb_crossed,U+1FAF0,inferred_coherent
🤟,love-you gesture,People & Body,,love_you_gesture,U+1F91F,inferred_coherent
🤘,sign of the horns,People & Body,,sign_of_the_horns,U+1F918,inferred_coherent
🤙,call me hand,People & Body,,call_me_hand,U+1F919,inferred_coherent
👈,backhand index pointing left,People & Body,,backhand_index_pointing_left,U+1F448,inferred_coherent
👉,backhand index pointing right,People & Body,,backhand_index_pointing_right,U+1F449,inferred_coherent
👆,backhand index pointing up,People & Body,,backhand_index_pointing_up,U+1F446,inferred_coherent
🖕,middle finger,People & Body,,middle_finger,U+1F595,inferred_coherent
👇,backhand index pointing down,People & Body,,backhand_index_pointing_down,U+1F447,inferred_coherent
☝️,index pointing up,People & Body,,index_pointing_up,U+261D U+FE0F,inferred_coherent
🫵,index pointing at the viewer,People & Body,,index_pointing_at_the_viewer,U+1FAF5,inferred_coherent
👍,thumbs up,People & Body,,thumbs_up,U+1F44D,inferred_coherent
👎,thumbs down,People & Body,,thumbs_down,U+1F44E,inferred_coherent
✊,raised fist,People & Body,,raised_fist,U+270A,inferred_coherent
👊,oncoming fist,People & Body,,oncoming_fist,U+1F44A,inferred_coherent
🤛,left-facing fist,People & Body,,left_facing_fist,U+1F91B,inferred_coherent
🤜,right-facing fist,People & Body,,right_facing_fist,U+1F91C,inferred_coherent
👏,clapping hands,People & Body,,clapping_hands,U+1F44F,inferred_coherent
🙌,raising hands,People & Body,,raising_hands,U+1F64C,inferred_coherent
🫶,heart hands,People & Body,,heart_hands,U+1FAF6,inferred_coherent
👐,open hands,People & Body,,open_hands,U+1F450,inferred_coherent
🤲,palms up together,People & Body,,palms_up_together,U+1F932,inferred_coherent
🤝,handshake,People & Body,,handshake,U+1F91D,inferred_coherent
🙏,folded hands,People & Body,,folded_hands,U+1F64F,inferred_coherent
✍️,writing hand,People & Body,,writing_hand,U+270D U+FE0F,inferred_coherent
💅,nail polish,People & Body,,nail_polish,U+1F485,inferred_coherent
🤳,selfie,People & Body,,selfie,U+1F933,inferred_coherent
💪,flexed biceps,People & Body,,flexed_biceps,U+1F4AA,inferred_coherent
🦾,mechanical arm,People & Body,,mechanical_arm,U+1F9BE,inferred_coherent
🦿,mechanical leg,People & Body,,mechanical_leg,U+1F9BF,inferred_coherent
🦵,leg,People & Body,,leg,U+1F9B5,inferred_coherent
🦶,foot,People & Body,,foot,U+1F9B6,inferred_coherent
👂,ear,People & Body,,ear,U+1F442,inferred_coherent
